Time (s),Current (A)
0,-3.685493048385558e-11
1e-12,-3.685493048385558e-11
2e-12,-3.6860153346427965e-11
3e-12,-3.688779274822922e-11
4e-12,-3.692985397830245e-11
5e-12,-3.698498381343283e-11
5.9999999999999995e-12,-3.705113525607557e-11
6.999999999999999e-12,-3.7126560194832264e-11
8e-12,-3.717917183982557e-11
9e-12,-3.7223163208913503e-11
1e-11,-3.725278188519124e-11
1.0999999999999999e-11,-3.7275548074349806e-11
1.1999999999999999e-11,-3.73381425883703e-11
1.2999999999999999e-11,-3.751954247281878e-11
1.3999999999999999e-11,-3.789842895205767e-11
1.5e-11,-3.848670686043437e-11
1.6e-11,-3.912718710068036e-11
1.7e-11,-3.9768552186113376e-11
1.8e-11,-4.0308989953847477e-11
1.9e-11,-4.073201229775122e-11
2e-11,-4.104557086258361e-11
2.1e-11,-4.1282153798707577e-11
2.1999999999999998e-11,-4.1531496337559666e-11
2.2999999999999998e-11,-4.1820753864368125e-11
2.3999999999999998e-11,-4.214865564377981e-11
2.4999999999999998e-11,-4.250972422597995e-11
2.5999999999999997e-11,-4.2919531809109294e-11
2.6999999999999997e-11,-4.33714973566673e-11
2.7999999999999997e-11,-4.3862936225205026e-11
2.8999999999999997e-11,-4.438786806497583e-11
3e-11,-4.492715401573095e-11
3.1e-11,-4.543473454987955e-11
3.2000000000000006e-11,-4.577659193136748e-11
3.300000000000001e-11,-4.567865747912364e-11
3.400000000000001e-11,-4.526946427349377e-11
3.5000000000000015e-11,-4.554645500597075e-11
3.600000000000002e-11,-4.633796550741711e-11
3.700000000000002e-11,-4.707952074908526e-11
3.8000000000000024e-11,-4.7467684112159836e-11
3.900000000000003e-11,-4.7793851642034777e-11
4.000000000000003e-11,-4.792255288898969e-11
4.100000000000003e-11,-4.785725632446815e-11
4.2000000000000036e-11,-4.7736173094229736e-11
4.300000000000004e-11,-4.747772591412403e-11
4.400000000000004e-11,-4.7000248885571085e-11
4.5000000000000045e-11,-4.6467435329634816e-11
4.600000000000005e-11,-4.618858716892107e-11
4.700000000000005e-11,-4.6190892468020886e-11
4.8000000000000054e-11,-4.643433437180137e-11
4.900000000000006e-11,-4.690980580692343e-11
5.000000000000006e-11,-4.759322820095975e-11
5.100000000000006e-11,-4.8319529547422217e-11
5.2000000000000066e-11,-4.8728745178702654e-11
5.300000000000007e-11,-4.853944793932566e-11
5.400000000000007e-11,-4.798876907062031e-11
5.5000000000000075e-11,-4.7416277787369766e-11
5.600000000000008e-11,-4.702136192841745e-11
5.700000000000008e-11,-4.68105146909882e-11
5.8000000000000084e-11,-4.6867911729111654e-11
5.900000000000008e-11,-4.720635277582238e-11
6.000000000000008e-11,-4.788831999166826e-11
6.100000000000007e-11,-4.904309643840981e-11
6.200000000000007e-11,-5.0694856645363716e-11
6.300000000000007e-11,-5.26579764834312e-11
6.400000000000006e-11,-5.4118048470655804e-11
6.500000000000006e-11,-5.463287220635725e-11
6.600000000000006e-11,-5.431143050301391e-11
6.700000000000005e-11,-5.38485417302999e-11
6.800000000000005e-11,-5.33969192648043e-11
6.900000000000005e-11,-5.308255852929504e-11
7.000000000000004e-11,-5.2958602541008476e-11
7.100000000000004e-11,-5.298445576022847e-11
7.200000000000004e-11,-5.304413237379706e-11
7.300000000000003e-11,-5.308109015049251e-11
7.400000000000003e-11,-5.3073162364746325e-11
7.500000000000003e-11,-5.29874642800544e-11
7.600000000000002e-11,-5.286943504467692e-11
7.700000000000002e-11,-5.273183125445727e-11
7.800000000000001e-11,-5.2563795165272196e-11
7.900000000000001e-11,-5.23814521738434e-11
8.000000000000001e-11,-5.215344771970128e-11
8.1e-11,-5.182696357615275e-11
8.2e-11,-5.133671850904494e-11
8.3e-11,-5.069987181845121e-11
8.4e-11,-5.005259029271711e-11
8.499999999999999e-11,-4.949097977078684e-11
