Time (s),Current (A)
0,-4.250968872680818e-12
1e-12,-4.250968872680818e-12
2e-12,-4.2401692479286384e-12
3e-12,-4.228036950028984e-12
4e-12,-4.22835897909772e-12
5e-12,-4.249163794542678e-12
5.9999999999999995e-12,-4.280088863919893e-12
6.999999999999999e-12,-4.289940787553365e-12
8e-12,-4.240404605508393e-12
9e-12,-4.119741746389584e-12
1e-11,-3.948507608660881e-12
1.0999999999999999e-11,-3.75060023054748e-12
1.1999999999999999e-11,-3.555893715190333e-12
1.2999999999999999e-11,-3.3959765643169295e-12
1.3999999999999999e-11,-3.271921064684762e-12
1.5e-11,-3.18528689258442e-12
1.6e-11,-3.149852203745969e-12
1.7e-11,-3.2077146411785515e-12
1.8e-11,-3.4151941167078896e-12
1.9e-11,-3.693646495513532e-12
2e-11,-3.827510344368567e-12
2.1e-11,-3.80393629747182e-12
2.1999999999999998e-11,-3.698420105434203e-12
2.2999999999999998e-11,-3.5686307637025214e-12
2.3999999999999998e-11,-3.4125854672877245e-12
2.4999999999999998e-11,-3.2297162129708147e-12
2.5999999999999997e-11,-3.0307770305243245e-12
2.6999999999999997e-11,-2.8426136237448494e-12
2.7999999999999997e-11,-2.7004734555443595e-12
2.8999999999999997e-11,-2.6349527787071062e-12
3e-11,-2.6793220460141796e-12
3.1e-11,-2.8666335643408605e-12
3.2000000000000006e-11,-3.117112594469661e-12
3.300000000000001e-11,-3.2749906209986224e-12
3.400000000000001e-11,-3.348304647076465e-12
3.5000000000000015e-11,-3.3998361672818237e-12
3.600000000000002e-11,-3.4888852928526193e-12
3.700000000000002e-11,-3.6252498346226284e-12
3.8000000000000024e-11,-3.743159472422801e-12
3.900000000000003e-11,-3.791332484251164e-12
4.000000000000003e-11,-3.788533128105677e-12
4.100000000000003e-11,-3.8041642090173105e-12
4.2000000000000036e-11,-3.87578961176203e-12
4.300000000000004e-11,-4.022933804876041e-12
4.400000000000004e-11,-4.186255108501463e-12
4.5000000000000045e-11,-4.280185772047188e-12
4.600000000000005e-11,-4.3040994119051245e-12
4.700000000000005e-11,-4.288534888729773e-12
4.8000000000000054e-11,-4.27857306169624e-12
4.900000000000006e-11,-4.2780653413254804e-12
5.000000000000006e-11,-4.289124099973207e-12
5.100000000000006e-11,-4.3182384375531664e-12
5.2000000000000066e-11,-4.368290602350522e-12
5.300000000000007e-11,-4.440086631763283e-12
5.400000000000007e-11,-4.534038527545221e-12
5.5000000000000075e-11,-4.648458254499923e-12
5.600000000000008e-11,-4.7971842296748035e-12
5.700000000000008e-11,-4.981316059674781e-12
5.8000000000000084e-11,-5.209963571924249e-12
5.900000000000008e-11,-5.47769860178108e-12
6.000000000000008e-11,-5.771201254371778e-12
6.100000000000007e-11,-6.0838784238349674e-12
6.200000000000007e-11,-6.4112111402556055e-12
6.300000000000007e-11,-6.784905712925873e-12
6.400000000000006e-11,-7.219688049983293e-12
6.500000000000006e-11,-7.699912339368047e-12
6.600000000000006e-11,-8.124648073224226e-12
6.700000000000005e-11,-8.447373953938446e-12
6.800000000000005e-11,-8.690377391212304e-12
6.900000000000005e-11,-8.938893389380556e-12
7.000000000000004e-11,-9.2702270553209e-12
7.100000000000004e-11,-9.890425396054572e-12
7.200000000000004e-11,-1.1320259402405576e-11
7.300000000000003e-11,-1.50213557332145e-11
7.400000000000003e-11,-2.466726285842691e-11
7.500000000000003e-11,-4.6262129324483895e-11
7.600000000000002e-11,-7.830992315496548e-11
7.700000000000002e-11,-1.0336315522001638e-10
7.800000000000001e-11,-1.118487371489719e-10
7.900000000000001e-11,-1.1193140983453552e-10
8.000000000000001e-11,-1.1196113529669164e-10
8.1e-11,-1.1200338813616217e-10
8.2e-11,-1.1205624059596897e-10
8.3e-11,-1.1214716928743264e-10
8.4e-11,-1.12367556870402e-10
8.499999999999999e-11,-1.1278655129588369e-10
8.599999999999999e-11,-1.132058163403891e-10
8.699999999999998e-11,-1.1355537692167824e-10
8.799999999999998e-11,-1.1389160471196374e-10
8.899999999999998e-11,-1.1426257824463606e-10
8.999999999999997e-11,-1.1474792201854321e-10
9.099999999999997e-11,-1.1530255921511198e-10
9.199999999999997e-11,-1.1585623502412266e-10
9.299999999999996e-11,-1.163531944561918e-10
9.399999999999996e-11,-1.1677014324841618e-10
9.499999999999996e-11,-1.1722730172806652e-10
9.599999999999995e-11,-1.1778974157602341e-10
9.699999999999995e-11,-1.1821731911928804e-10
9.799999999999995e-11,-1.1832830790261615e-10
9.899999999999994e-11,-1.1817389794819565e-10
9.999999999999994e-11,-1.1793235551217837e-10
1.0099999999999994e-10,-1.177901387210126e-10
1.0199999999999993e-10,-1.1754791868651092e-10
1.0299999999999993e-10,-1.1726927595425406e-10
1.0399999999999993e-10,-1.1690314977021685e-10
1.0499999999999992e-10,-1.1646839096789363e-10
1.0599999999999992e-10,-1.1599990563977251e-10
1.0699999999999991e-10,-1.157941885966138e-10
1.0799999999999991e-10,-1.1564091038466108e-10
1.0899999999999991e-10,-1.1550970115030254e-10
1.099999999999999e-10,-1.154336133500238e-10
1.109999999999999e-10,-1.1539609966217397e-10
1.119999999999999e-10,-1.1539796448284398e-10
1.129999999999999e-10,-1.1545956802874933e-10
1.1399999999999989e-10,-1.1560800949340663e-10
1.1499999999999989e-10,-1.1582062760797234e-10
1.1599999999999988e-10,-1.1600877284801127e-10
1.1699999999999988e-10,-1.1607724211175758e-10
1.1799999999999988e-10,-1.1593776284586016e-10
1.1899999999999987e-10,-1.1541157319322285e-10
1.1999999999999987e-10,-1.1465130344225504e-10
1.2099999999999987e-10,-1.1377985001596445e-10
1.2199999999999986e-10,-1.13004001487e-10
1.2299999999999986e-10,-1.1257052433704429e-10
1.2399999999999986e-10,-1.1251737618329224e-10
1.2499999999999985e-10,-1.1292609349522399e-10
1.2599999999999985e-10,-1.134508944907041e-10
1.2699999999999985e-10,-1.1393471550988818e-10
1.2799999999999984e-10,-1.142185095310049e-10
1.2899999999999984e-10,-1.1432282451275055e-10
1.2999999999999984e-10,-1.1447295943300932e-10
1.3099999999999983e-10,-1.1460395318065228e-10
1.3199999999999983e-10,-1.1459228660812484e-10
1.3299999999999983e-10,-1.139527969071356e-10
1.3399999999999982e-10,-1.1179294526539949e-10
1.3499999999999982e-10,-1.0983424865914335e-10
1.3599999999999981e-10,-1.0941527422885206e-10
1.369999999999998e-10,-1.0939792338243257e-10
1.379999999999998e-10,-1.0936048190520738e-10
1.389999999999998e-10,-1.0930197680627979e-10
1.399999999999998e-10,-1.092409802753326e-10
1.409999999999998e-10,-1.0920921228509199e-10
1.419999999999998e-10,-1.0924685890641555e-10
1.429999999999998e-10,-1.0940647166788129e-10
1.439999999999998e-10,-1.0961463503838099e-10
1.4499999999999978e-10,-1.0999595339272564e-10
1.4599999999999978e-10,-1.1060746239013723e-10
1.4699999999999978e-10,-1.1078337371523527e-10
1.4799999999999977e-10,-1.1027719017473531e-10
1.4899999999999977e-10,-1.0962854024114076e-10
1.4999999999999977e-10,-1.0910709222978168e-10
1.5099999999999976e-10,-1.0872425237051075e-10
1.5199999999999976e-10,-1.0856391646236246e-10
1.5299999999999976e-10,-1.0854815674658102e-10
1.5399999999999975e-10,-1.0849754614764495e-10
1.5499999999999975e-10,-1.0842047752351599e-10
1.5599999999999975e-10,-1.0831682992913516e-10
1.5699999999999974e-10,-1.0820644136079159e-10
1.5799999999999974e-10,-1.0814064929593446e-10
1.5899999999999974e-10,-1.0816272256021936e-10
1.5999999999999973e-10,-1.0819095490837869e-10
1.6099999999999973e-10,-1.0822825457074808e-10
1.6199999999999972e-10,-1.0828706894310958e-10
1.6299999999999972e-10,-1.0838918918646748e-10
1.6399999999999972e-10,-1.0857920753432276e-10
1.6499999999999971e-10,-1.088484987723888e-10
1.659999999999997e-10,-1.0912011161883311e-10
1.669999999999997e-10,-1.0932791563359753e-10
1.679999999999997e-10,-1.0957464669073758e-10
1.689999999999997e-10,-1.0993507249215992e-10
1.699999999999997e-10,-1.1051228919537692e-10
1.709999999999997e-10,-1.1140355345845985e-10
1.719999999999997e-10,-1.1275436813373843e-10
1.7299999999999969e-10,-1.1479917099838258e-10
1.7399999999999968e-10,-1.1817809697525924e-10
1.7499999999999968e-10,-1.241063570911036e-10
1.7599999999999968e-10,-1.3427841929135377e-10
1.7699999999999967e-10,-1.4975542894306172e-10
1.7799999999999967e-10,-1.687354390899217e-10
1.7899999999999967e-10,-1.8631527215997386e-10
1.7999999999999966e-10,-1.9856449933837703e-10
1.8099999999999966e-10,-2.002304968702948e-10
1.8199999999999966e-10,-2.0003580364569463e-10
1.8299999999999965e-10,-1.9990041195430924e-10
1.8399999999999965e-10,-2.0010178750640485e-10
1.8499999999999965e-10,-2.004758798698569e-10
1.8599999999999964e-10,-2.0095979667630546e-10
1.8699999999999964e-10,-2.0178849227473115e-10
1.8799999999999964e-10,-2.0308695304387804e-10
1.8899999999999963e-10,-2.049123609109811e-10
1.8999999999999963e-10,-2.068637474311729e-10
1.9099999999999962e-10,-2.0763019710523308e-10
1.9199999999999962e-10,-2.0859754534006792e-10
1.9299999999999962e-10,-2.0970314985778804e-10
1.9399999999999961e-10,-2.1092443694561487e-10
1.949999999999996e-10,-2.1236425728473475e-10
1.959999999999996e-10,-2.1411840703261834e-10
1.969999999999996e-10,-2.1662092825253185e-10
1.979999999999996e-10,-2.2025056866356347e-10
1.989999999999996e-10,-2.251659735396608e-10
1.999999999999996e-10,-2.3107437784402376e-10
2.009999999999996e-10,-2.3770678737652805e-10
2.0199999999999959e-10,-2.445773278945165e-10
2.0299999999999958e-10,-2.5068091662341004e-10
2.0399999999999958e-10,-2.5414573417371245e-10
2.0499999999999958e-10,-2.5593088414712377e-10
2.0599999999999957e-10,-2.573799787892213e-10
2.0699999999999957e-10,-2.5789028018596006e-10
2.0799999999999957e-10,-2.578696687536051e-10
2.0899999999999956e-10,-2.579449391578286e-10
2.0999999999999956e-10,-2.581761452875808e-10
2.1099999999999956e-10,-2.5865593292149137e-10
