Time (s),Current (A)
0,6.055886935517306e-10
1e-12,6.055886935517306e-10
2e-12,6.035422377773082e-10
3e-12,5.994946739804616e-10
4e-12,5.935836197971658e-10
5e-12,5.860983009797963e-10
5.9999999999999995e-12,5.775420842875929e-10
6.999999999999999e-12,5.68673795886346e-10
8e-12,5.604520060594264e-10
9e-12,5.538710942490214e-10
1e-11,5.496985600945765e-10
1.0999999999999999e-11,5.482488455738587e-10
1.1999999999999999e-11,5.493646987651391e-10
1.2999999999999999e-11,5.549809707811419e-10
1.3999999999999999e-11,5.615524038683778e-10
1.5e-11,5.680436741243449e-10
1.6e-11,5.74108276150982e-10
1.7e-11,5.795393361186045e-10
1.8e-11,5.842268420857522e-10
1.9e-11,5.882033279432517e-10
2e-11,5.914718996706284e-10
2.1e-11,5.940707004299354e-10
2.1999999999999998e-11,5.956413322849951e-10
2.2999999999999998e-11,5.981902014734051e-10
2.3999999999999998e-11,6.020802547672377e-10
2.4999999999999998e-11,6.068947699683753e-10
2.5999999999999997e-11,6.110461127933329e-10
2.6999999999999997e-11,6.132639072625511e-10
2.7999999999999997e-11,6.135808187530402e-10
2.8999999999999997e-11,6.12977223016366e-10
3e-11,6.120925028777249e-10
3.1e-11,6.113848269113725e-10
3.2000000000000006e-11,6.112152258218614e-10
3.300000000000001e-11,6.117808838859628e-10
3.400000000000001e-11,6.13274031880124e-10
3.5000000000000015e-11,6.159490504603226e-10
3.600000000000002e-11,6.200284917729051e-10
3.700000000000002e-11,6.246942155626352e-10
3.8000000000000024e-11,6.291155169565616e-10
3.900000000000003e-11,6.324770941551191e-10
4.000000000000003e-11,6.346979401600945e-10
4.100000000000003e-11,6.360552685110939e-10
4.2000000000000036e-11,6.369394125301214e-10
4.300000000000004e-11,6.378427251129488e-10
4.400000000000004e-11,6.388328208184832e-10
4.5000000000000045e-11,6.399936335911436e-10
4.600000000000005e-11,6.413115979794717e-10
4.700000000000005e-11,6.429291420093797e-10
4.8000000000000054e-11,6.448720349990665e-10
4.900000000000006e-11,6.471419557217442e-10
5.000000000000006e-11,6.498159900579321e-10
5.100000000000006e-11,6.524090916074209e-10
5.2000000000000066e-11,6.546592459150746e-10
5.300000000000007e-11,6.56465539014133e-10
5.400000000000007e-11,6.576822936935122e-10
5.5000000000000075e-11,6.590227472591405e-10
5.600000000000008e-11,6.611968345634047e-10
5.700000000000008e-11,6.65629905731108e-10
5.8000000000000084e-11,6.759848763843309e-10
5.900000000000008e-11,6.981692278781457e-10
6.000000000000008e-11,7.301121869567792e-10
6.100000000000007e-11,7.552387410990063e-10
6.200000000000007e-11,7.68802542140772e-10
6.300000000000007e-11,7.761207541123953e-10
6.400000000000006e-11,7.829911685955697e-10
6.500000000000006e-11,7.892169855996763e-10
6.600000000000006e-11,7.941673739989159e-10
6.700000000000005e-11,7.97921017365703e-10
6.800000000000005e-11,7.996478416764645e-10
6.900000000000005e-11,8.004702815383311e-10
7.000000000000004e-11,8.009080672883979e-10
7.100000000000004e-11,8.012841546262054e-10
7.200000000000004e-11,8.016303799361264e-10
7.300000000000003e-11,8.01990298844404e-10
7.400000000000003e-11,8.025072801287405e-10
7.500000000000003e-11,8.033643032097558e-10
7.600000000000002e-11,8.048580344134466e-10
7.700000000000002e-11,8.075878857262411e-10
7.800000000000001e-11,8.127686063872337e-10
7.900000000000001e-11,8.225836118732923e-10
8.000000000000001e-11,8.403745025617912e-10
8.1e-11,8.69110479832545e-10
8.2e-11,9.065640528669675e-10
8.3e-11,9.42629754048942e-10
8.4e-11,9.678307845633616e-10
8.499999999999999e-11,9.722063520446012e-10
8.599999999999999e-11,9.726108561782435e-10
8.699999999999998e-11,9.735108777124486e-10
8.799999999999998e-11,9.752007212385373e-10
8.899999999999998e-11,9.78543155746807e-10
8.999999999999997e-11,9.851539165183632e-10
9.099999999999997e-11,9.995587461174115e-10
9.199999999999997e-11,1.0283625932765353e-09
9.299999999999996e-11,1.0616805402830578e-09
9.399999999999996e-11,1.080480557965517e-09
9.499999999999996e-11,1.0872635639076514e-09
9.599999999999995e-11,1.0901977779895736e-09
9.699999999999995e-11,1.0933990779505111e-09
9.799999999999995e-11,1.0960360756628348e-09
9.899999999999994e-11,1.0995075230962253e-09
9.999999999999994e-11,1.1037465423274254e-09
1.0099999999999994e-10,1.1053921148338445e-09
1.0199999999999993e-10,1.1027658011005057e-09
1.0299999999999993e-10,1.0990592219940745e-09
1.0399999999999993e-10,1.0975343722038764e-09
1.0499999999999992e-10,1.0995808813123212e-09
1.0599999999999992e-10,1.1016423488434512e-09
1.0699999999999991e-10,1.104022310119952e-09
1.0799999999999991e-10,1.107192265198604e-09
1.0899999999999991e-10,1.1119232847911355e-09
1.099999999999999e-10,1.1193111138632777e-09
1.109999999999999e-10,1.1293805189443431e-09
1.119999999999999e-10,1.1411403305479138e-09
1.129999999999999e-10,1.1524012686621929e-09
1.1399999999999989e-10,1.1628406454914896e-09
1.1499999999999989e-10,1.172874154738869e-09
1.1599999999999988e-10,1.1807621186350357e-09
1.1699999999999988e-10,1.1804250930529237e-09
1.1799999999999988e-10,1.1639782125234888e-09
1.1899999999999987e-10,1.1369851089950258e-09
1.1999999999999987e-10,1.1090651965823545e-09
1.2099999999999987e-10,1.0958312651217396e-09
1.2199999999999986e-10,1.0962963559722307e-09
1.2299999999999986e-10,1.096980954494554e-09
1.2399999999999986e-10,1.097434628123817e-09
1.2499999999999985e-10,1.0982082705611569e-09
1.2599999999999985e-10,1.0995249945799254e-09
1.2699999999999985e-10,1.101729504193418e-09
1.2799999999999984e-10,1.1053542005013608e-09
1.2899999999999984e-10,1.1108940161884167e-09
1.2999999999999984e-10,1.1181905633682363e-09
1.3099999999999983e-10,1.1253127664697473e-09
1.3199999999999983e-10,1.1303672205536164e-09
1.3299999999999983e-10,1.1299602485984324e-09
1.3399999999999982e-10,1.12266630590393e-09
1.3499999999999982e-10,1.1163439374550528e-09
1.3599999999999981e-10,1.1144059088949232e-09
1.369999999999998e-10,1.114510315874405e-09
1.379999999999998e-10,1.1146353755643665e-09
1.389999999999998e-10,1.1145742882915789e-09
1.399999999999998e-10,1.1136520797777204e-09
1.409999999999998e-10,1.1099942366262892e-09
1.419999999999998e-10,1.1021162390851894e-09
1.429999999999998e-10,1.095752331076811e-09
1.439999999999998e-10,1.0955999891629552e-09
1.4499999999999978e-10,1.100037403118007e-09
1.4599999999999978e-10,1.1069275174431084e-09
1.4699999999999978e-10,1.1155330168146637e-09
1.4799999999999977e-10,1.1238341858517842e-09
1.4899999999999977e-10,1.130731214324277e-09
1.4999999999999977e-10,1.1355392195442138e-09
1.5099999999999976e-10,1.138266154198545e-09
1.5199999999999976e-10,1.1397264367903316e-09
1.5299999999999976e-10,1.140948102550082e-09
1.5399999999999975e-10,1.1423740812599388e-09
1.5499999999999975e-10,1.1440348499174959e-09
1.5599999999999975e-10,1.1455107735995013e-09
1.5699999999999974e-10,1.1474122008287255e-09
1.5799999999999974e-10,1.1498001934904972e-09
1.5899999999999974e-10,1.1526623699772009e-09
1.5999999999999973e-10,1.1561633767839863e-09
1.6099999999999973e-10,1.1604029424196205e-09
1.6199999999999972e-10,1.1657156172165754e-09
1.6299999999999972e-10,1.1719236563710976e-09
1.6399999999999972e-10,1.178900771231949e-09
1.6499999999999971e-10,1.1855230787020431e-09
1.659999999999997e-10,1.1911946455162157e-09
1.669999999999997e-10,1.1933444233065372e-09
1.679999999999997e-10,1.194837792675324e-09
1.689999999999997e-10,1.1959598210309267e-09
1.699999999999997e-10,1.19655304468021e-09
1.709999999999997e-10,1.1965151639509234e-09
1.719999999999997e-10,1.1956846740016968e-09
1.7299999999999969e-10,1.1939920693997548e-09
1.7399999999999968e-10,1.1919306382097758e-09
1.7499999999999968e-10,1.190227641626234e-09
1.7599999999999968e-10,1.1893519835721892e-09
1.7699999999999967e-10,1.1900559608584957e-09
1.7799999999999967e-10,1.1905632937657135e-09
1.7899999999999967e-10,1.1907915676091097e-09
1.7999999999999966e-10,1.1893235719315147e-09
1.8099999999999966e-10,1.1865257049375876e-09
1.8199999999999966e-10,1.1826868006129414e-09
1.8299999999999965e-10,1.1782159136996708e-09
1.8399999999999965e-10,1.1741582862861506e-09
1.8499999999999965e-10,1.1710623700866446e-09
1.8599999999999964e-10,1.1685984244659894e-09
1.8699999999999964e-10,1.1657792179516567e-09
1.8799999999999964e-10,1.1616670047088405e-09
1.8899999999999963e-10,1.1557421004187294e-09
1.8999999999999963e-10,1.1472780628493601e-09
1.9099999999999962e-10,1.1362004623414628e-09
1.9199999999999962e-10,1.1242743811726416e-09
1.9299999999999962e-10,1.1137065755991906e-09
1.9399999999999961e-10,1.1049644610780753e-09
1.949999999999996e-10,1.096622052082865e-09
1.959999999999996e-10,1.088401509692135e-09
1.969999999999996e-10,1.0793531815350498e-09
1.979999999999996e-10,1.06967632335815e-09
1.989999999999996e-10,1.061477024995647e-09
1.999999999999996e-10,1.056937300075608e-09
2.009999999999996e-10,1.0522048671169727e-09
2.0199999999999959e-10,1.0477132141811436e-09
2.0299999999999958e-10,1.0440002618194169e-09
2.0399999999999958e-10,1.0417042256362013e-09
2.0499999999999958e-10,1.0415210261641333e-09
2.0599999999999957e-10,1.0444995137906825e-09
2.0699999999999957e-10,1.05372095556323e-09
2.0799999999999957e-10,1.065453317625858e-09
2.0899999999999956e-10,1.0771783483304541e-09
2.0999999999999956e-10,1.0863464375059815e-09
2.1099999999999956e-10,1.0924996781422637e-09
2.1199999999999955e-10,1.0995344060180121e-09
2.1299999999999955e-10,1.1095190222469802e-09
2.1399999999999955e-10,1.1216783708583444e-09
2.1499999999999954e-10,1.1326457038268186e-09
2.1599999999999954e-10,1.1402012535154459e-09
2.1699999999999953e-10,1.144317689758473e-09
2.1799999999999953e-10,1.1470691893547035e-09
2.1899999999999953e-10,1.1509102937193495e-09
2.1999999999999952e-10,1.156778271544749e-09
2.2099999999999952e-10,1.1630757274206406e-09
2.2199999999999952e-10,1.1674557753154428e-09
2.2299999999999951e-10,1.1693128909922811e-09
2.239999999999995e-10,1.170751238659796e-09
2.249999999999995e-10,1.1721383337559983e-09
2.259999999999995e-10,1.1750018133221978e-09
2.269999999999995e-10,1.1794340585533558e-09
2.279999999999995e-10,1.1846953595400132e-09
2.289999999999995e-10,1.1901402273399656e-09
2.299999999999995e-10,1.1945956080918975e-09
2.3099999999999949e-10,1.1983296081005436e-09
2.3199999999999948e-10,1.2034386773990801e-09
2.329999999999995e-10,1.2125005359492196e-09
2.339999999999995e-10,1.2280975611601448e-09
2.349999999999995e-10,1.2455721072930773e-09
2.359999999999995e-10,1.2560381214154636e-09
2.369999999999995e-10,1.2574700456409985e-09
2.379999999999995e-10,1.2587032930722799e-09
2.389999999999995e-10,1.2603818954596053e-09
2.399999999999995e-10,1.2625671792748004e-09
2.409999999999995e-10,1.2648910962934511e-09
2.419999999999995e-10,1.2664080192397201e-09
2.4299999999999947e-10,1.2660026589355966e-09
2.4399999999999947e-10,1.265009179510981e-09
2.4499999999999946e-10,1.2657622462416938e-09
2.4599999999999946e-10,1.2660508362737468e-09
2.4699999999999946e-10,1.2661098357336365e-09
2.4799999999999945e-10,1.2668518948270064e-09
2.4899999999999945e-10,1.2687964908698971e-09
2.4999999999999945e-10,1.2739013510477447e-09
2.5099999999999944e-10,1.2841837269703543e-09
2.5199999999999944e-10,1.297603211053671e-09
2.5299999999999944e-10,1.3077711063597464e-09
2.5399999999999943e-10,1.3131799600551401e-09
2.5499999999999943e-10,1.3140143817634965e-09
2.5599999999999943e-10,1.3151045995807046e-09
2.569999999999994e-10,1.3167567164203482e-09
2.579999999999994e-10,1.319044754013985e-09
2.589999999999994e-10,1.3226295611758115e-09
2.599999999999994e-10,1.3261116476689295e-09
2.609999999999994e-10,1.3240728733083303e-09
2.619999999999994e-10,1.3076891781128475e-09
2.629999999999994e-10,1.2695599572161072e-09
2.639999999999994e-10,1.2267611966605827e-09
2.649999999999994e-10,1.2017787364584383e-09
2.659999999999994e-10,1.1967688112242294e-09
2.669999999999994e-10,1.1971392132900878e-09
2.679999999999994e-10,1.1978812654944366e-09
2.689999999999994e-10,1.198939712609417e-09
2.699999999999994e-10,1.2003956693376563e-09
2.709999999999994e-10,1.202241421284121e-09
2.7199999999999937e-10,1.2042971894747016e-09
2.7299999999999937e-10,1.2065377724920795e-09
2.7399999999999936e-10,1.2090043214121024e-09
2.7499999999999936e-10,1.2113981984147098e-09
2.7599999999999936e-10,1.2139554276973e-09
2.7699999999999935e-10,1.21653204673904e-09
2.7799999999999935e-10,1.2188078072168024e-09
2.7899999999999935e-10,1.2203881557993602e-09
2.7999999999999934e-10,1.2223140520986159e-09
2.8099999999999934e-10,1.2246179242279971e-09
2.8199999999999934e-10,1.226688454494928e-09
2.8299999999999933e-10,1.2287186661030143e-09
2.8399999999999933e-10,1.2307654157849384e-09
2.8499999999999933e-10,1.2327586690229105e-09
2.859999999999993e-10,1.2348155454989245e-09
2.869999999999993e-10,1.2366711051913115e-09
2.879999999999993e-10,1.237824802448112e-09
2.889999999999993e-10,1.2372616491824426e-09
2.899999999999993e-10,1.2358844003128848e-09
2.909999999999993e-10,1.235664765394749e-09
2.919999999999993e-10,1.2371367177792585e-09
2.929999999999993e-10,1.2402968721928435e-09
2.939999999999993e-10,1.245244338674801e-09
2.949999999999993e-10,1.2520496899647506e-09
2.959999999999993e-10,1.2606604758028282e-09
2.969999999999993e-10,1.2713544186310566e-09
2.979999999999993e-10,1.2836011767524638e-09
2.989999999999993e-10,1.2978214315269803e-09
2.999999999999993e-10,1.3118758276727322e-09
3.0099999999999927e-10,1.3216940241371187e-09
3.0199999999999927e-10,1.3247070521766943e-09
3.0299999999999926e-10,1.3265404653647692e-09
3.0399999999999926e-10,1.3274371109407853e-09
3.0499999999999926e-10,1.3286905180070578e-09
3.0599999999999925e-10,1.330409291695111e-09
3.0699999999999925e-10,1.332645349897474e-09
3.0799999999999925e-10,1.3352949068598708e-09
3.0899999999999924e-10,1.3379166057815746e-09
3.0999999999999924e-10,1.3407465758476644e-09
3.1099999999999924e-10,1.3437122904526406e-09
3.1199999999999923e-10,1.3471787595249842e-09
3.1299999999999923e-10,1.352158236314848e-09
3.1399999999999923e-10,1.359005283644709e-09
3.149999999999992e-10,1.3678232511436663e-09
3.159999999999992e-10,1.3771384310991486e-09
3.169999999999992e-10,1.3848315281733503e-09
3.179999999999992e-10,1.3898874569865404e-09
3.189999999999992e-10,1.3903751109194582e-09
3.199999999999992e-10,1.3908716492812614e-09
3.209999999999992e-10,1.3913408981375246e-09
3.219999999999992e-10,1.3913270696640608e-09
