Time (s),Current (A)
0,2.0998877549999184e-27
1e-12,2.0998877549999184e-27
2e-12,2.0456223520648466e-27
3e-12,1.9418082593258833e-27
4e-12,1.7973632564921572e-27
5e-12,1.624036842506893e-27
5.9999999999999995e-12,1.4348184099177707e-27
6.999999999999999e-12,1.2422673566908626e-27
8e-12,1.0571751807297857e-27
9e-12,8.876820719455613e-28
1e-11,7.389635778287662e-28
1.0999999999999999e-11,6.134125325740758e-28
1.1999999999999999e-11,5.111258638557104e-28
1.2999999999999999e-11,4.305676908761269e-28
1.3999999999999999e-11,3.692144246586482e-28
1.5e-11,3.241480434762467e-28
1.6e-11,2.9247589593273118e-28
1.7e-11,2.716253871132279e-28
1.8e-11,2.595703599977961e-28
1.9e-11,2.5467887347641048e-28
2e-11,2.5569910772071937e-28
2.1e-11,2.612478375990657e-28
2.1999999999999998e-11,2.690632005392102e-28
2.2999999999999998e-11,2.775514193475992e-28
2.3999999999999998e-11,2.8433852494735846e-28
2.4999999999999998e-11,2.86951669023483e-28
2.5999999999999997e-11,2.8438319407686484e-28
2.6999999999999997e-11,2.7746078004597943e-28
2.7999999999999997e-11,2.705136462055613e-28
2.8999999999999997e-11,2.66233866549892e-28
3e-11,2.6748091588868484e-28
3.1e-11,2.764741560690176e-28
3.2000000000000006e-11,2.9902165812889515e-28
3.300000000000001e-11,3.4480513062817855e-28
3.400000000000001e-11,4.3365029449293765e-28
3.5000000000000015e-11,6.109863049524877e-28
3.600000000000002e-11,9.751470464447465e-28
3.700000000000002e-11,1.7435655783742955e-27
3.8000000000000024e-11,3.409486018166041e-27
3.900000000000003e-11,7.121751322350378e-27
4.000000000000003e-11,1.5630362455720802e-26
4.100000000000003e-11,3.5700581380027076e-26
4.2000000000000036e-11,8.440299154033326e-26
4.300000000000004e-11,2.0568448702053266e-25
4.400000000000004e-11,5.126946764268808e-25
4.5000000000000045e-11,1.2808483856874276e-24
4.600000000000005e-11,3.0477441755223654e-24
4.700000000000005e-11,6.273347424867737e-24
4.8000000000000054e-11,1.026578885202252e-23
4.900000000000006e-11,1.4247086054528304e-23
5.000000000000006e-11,2.104188282794038e-23
5.100000000000006e-11,4.132036579671157e-23
5.2000000000000066e-11,1.0900629375120047e-22
5.300000000000007e-11,3.313677587450138e-22
5.400000000000007e-11,9.659259748514984e-22
5.5000000000000075e-11,2.127619454490837e-21
5.600000000000008e-11,3.109247078088729e-21
5.700000000000008e-11,3.507944037071096e-21
5.8000000000000084e-11,3.59410211600217e-21
5.900000000000008e-11,3.605429573527415e-21
6.000000000000008e-11,3.613017169203959e-21
6.100000000000007e-11,3.616188961639427e-21
6.200000000000007e-11,3.613582570086539e-21
6.300000000000007e-11,3.603405938050236e-21
6.400000000000006e-11,3.584527622858651e-21
6.500000000000006e-11,3.555878101379833e-21
6.600000000000006e-11,3.5164440698298024e-21
6.700000000000005e-11,3.465271826620371e-21
6.800000000000005e-11,3.397487818598485e-21
6.900000000000005e-11,3.2920125509472693e-21
7.000000000000004e-11,3.096261313883142e-21
7.100000000000004e-11,2.7543786203596682e-21
7.200000000000004e-11,2.283811197570655e-21
7.300000000000003e-11,1.7305816711305584e-21
7.400000000000003e-11,1.1671696626060646e-21
7.500000000000003e-11,6.915496806782911e-22
7.600000000000002e-11,3.594371973251239e-22
7.700000000000002e-11,1.6586842790824834e-22
7.800000000000001e-11,6.917613405840392e-23
7.900000000000001e-11,2.655137929506203e-23
8.000000000000001e-11,9.553205942026272e-24
8.1e-11,3.2667627320685093e-24
8.2e-11,1.0622864046738734e-24
8.3e-11,3.308344329825547e-25
8.4e-11,1.0667079199111474e-25
8.499999999999999e-11,4.6855970492476473e-26
8.599999999999999e-11,4.058510927502923e-26
8.699999999999998e-11,5.75696469662379e-26
8.799999999999998e-11,9.618453472928778e-26
8.899999999999998e-11,1.7062497465261672e-25
8.999999999999997e-11,3.1611135800982402e-25
9.099999999999997e-11,6.113586741886279e-25
9.199999999999997e-11,1.2376650145289741e-24
9.299999999999996e-11,2.6278838115983972e-24
9.399999999999996e-11,5.85894495441254e-24
9.499999999999996e-11,1.3721195814319144e-23
9.599999999999995e-11,3.3789634170744776e-23
9.699999999999995e-11,8.756878326805773e-23
9.799999999999995e-11,2.367679884417509e-22
9.899999999999994e-11,6.432422556259739e-22
9.999999999999994e-11,1.5690920182581236e-21
1.0099999999999994e-10,2.9076649688845533e-21
1.0199999999999993e-10,4.1154506351356085e-21
1.0299999999999993e-10,5.3033713420997695e-21
1.0399999999999993e-10,6.413233548293587e-21
1.0499999999999992e-10,6.938221375124131e-21
1.0599999999999992e-10,6.893610137183185e-21
1.0699999999999991e-10,6.558042468004198e-21
1.0799999999999991e-10,6.290488526760219e-21
1.0899999999999991e-10,6.110055142454331e-21
1.099999999999999e-10,6.009350999239401e-21
1.109999999999999e-10,5.962330245736771e-21
1.119999999999999e-10,5.946484540976732e-21
1.129999999999999e-10,5.946803109709324e-21
1.1399999999999989e-10,5.9549445144818896e-21
1.1499999999999989e-10,5.967027567178526e-21
1.1599999999999988e-10,5.981565270396201e-21
1.1699999999999988e-10,5.9980831547037236e-21
1.1799999999999988e-10,6.01675354457566e-21
1.1899999999999987e-10,6.0368020088404776e-21
1.1999999999999987e-10,6.05890720980877e-21
1.2099999999999987e-10,6.082930377814639e-21
1.2199999999999986e-10,6.109122912109112e-21
1.2299999999999986e-10,6.1327863811210835e-21
1.2399999999999986e-10,6.157900852282218e-21
1.2499999999999985e-10,6.183667514462858e-21
1.2599999999999985e-10,6.209519648209955e-21
1.2699999999999985e-10,6.2332068626914926e-21
1.2799999999999984e-10,6.2526826450240526e-21
1.2899999999999984e-10,6.2684194597386734e-21
1.2999999999999984e-10,6.27981698734484e-21
1.3099999999999983e-10,6.287318781472142e-21
1.3199999999999983e-10,6.294013310932439e-21
1.3299999999999983e-10,6.302187000786297e-21
1.3399999999999982e-10,6.3140602073118945e-21
1.3499999999999982e-10,6.32694929704556e-21
1.3599999999999981e-10,6.340274414875233e-21
1.369999999999998e-10,6.354046608988235e-21
1.379999999999998e-10,6.368566371687265e-21
