Time (s),Current (A)
1e-12,3.5138855149403746e-10
2e-12,3.5215918462495666e-10
0,-8.417869151173787e-22
3e-12,3.53707198727295e-10
1e-12,-8.417869151173787e-22
4e-12,3.560431790104591e-10
2e-12,-7.649291615341393e-22
5e-12,3.5917073327418844e-10
3e-12,-6.25110782970757e-22
5.9999999999999995e-12,3.630378667240378e-10
4e-12,-4.510840497077179e-22
6.999999999999999e-12,3.673689004247359e-10
5e-12,-2.822609607659038e-22
8e-12,3.7125485174912953e-10
5.9999999999999995e-12,-1.5211815349467306e-22
9e-12,3.725227738709955e-10
6.999999999999999e-12,-7.179894201070699e-23
1e-11,3.677301833642581e-10
8e-12,-3.1800718110021656e-23
1.0999999999999999e-11,3.545340404263565e-10
9e-12,-1.658558685857292e-23
1.1999999999999999e-11,3.3539932575237794e-10
1.2999999999999999e-11,3.168827607759729e-10
1e-11,-1.5457949016855035e-23
1.3999999999999999e-11,3.0387970247616924e-10
1.0999999999999999e-11,-2.5792201066248787e-23
1.5e-11,2.9695552043768786e-10
1.1999999999999999e-11,-5.432997547730439e-23
1.6e-11,2.941967505915045e-10
1.2999999999999999e-11,-1.189692354865149e-22
1.7e-11,2.958197973301571e-10
1.3999999999999999e-11,-2.3254044607942997e-22
1.8e-11,2.980932013131977e-10
1.5e-11,-3.4644821886503154e-22
1.9e-11,3.009411445048619e-10
1.6e-11,-3.9079569912700445e-22
2e-11,3.0435855167717556e-10
1.7e-11,-4.0642788612465336e-22
2.1e-11,3.0830998798976706e-10
1.8e-11,-5.5076860266747305e-22
2.1999999999999998e-11,3.1268486831776995e-10
1.9e-11,-1.0761482212117133e-21
2.2999999999999998e-11,3.172746173648681e-10
2e-11,-1.8849475060195917e-21
2.3999999999999998e-11,3.217854272089482e-10
2.1e-11,-2.3511816741771585e-21
2.4999999999999998e-11,3.259029250427306e-10
2.1999999999999998e-11,-2.4595483159448244e-21
2.5999999999999997e-11,3.2937689326526254e-10
2.6999999999999997e-11,3.3208680499992175e-10
2.2999999999999998e-11,-2.436535672256716e-21
2.7999999999999997e-11,3.340496190085276e-10
2.3999999999999998e-11,-2.408108806537342e-21
