Time (s),Current (A)
0,1.5507512315288333e-10
1e-12,1.5507512315288333e-10
2e-12,1.5469621584948976e-10
3e-12,1.5446667736344121e-10
4e-12,1.5536838733692404e-10
5e-12,1.5861601402514081e-10
5.9999999999999995e-12,1.652139346892987e-10
6.999999999999999e-12,1.7539382263508394e-10
8e-12,1.8848672127836977e-10
9e-12,2.0408002151910183e-10
1e-11,2.23457314621447e-10
1.0999999999999999e-11,2.4675499347226154e-10
1.1999999999999999e-11,2.664839036789565e-10
1.2999999999999999e-11,2.748787713575168e-10
1.3999999999999999e-11,2.7215269882178376e-10
1.5e-11,2.603812527496376e-10
1.6e-11,2.470857881193941e-10
1.7e-11,2.343746184589047e-10
1.8e-11,2.2435739337654446e-10
1.9e-11,2.1823129326751121e-10
2e-11,2.1672171255762092e-10
2.1e-11,2.1915662796486353e-10
2.1999999999999998e-11,2.2306791572930395e-10
2.2999999999999998e-11,2.2524654358531564e-10
2.3999999999999998e-11,2.250176205217602e-10
2.4999999999999998e-11,2.2329622581567185e-10
2.5999999999999997e-11,2.2109439152104483e-10
2.6999999999999997e-11,2.1909613463523033e-10
2.7999999999999997e-11,2.1732699469735394e-10
2.8999999999999997e-11,2.157643727503336e-10
3e-11,2.1463296844430913e-10
3.1e-11,2.1358640664957528e-10
3.2000000000000006e-11,2.1237116291132346e-10
3.300000000000001e-11,2.1087725320337436e-10
3.400000000000001e-11,2.0898869348550038e-10
3.5000000000000015e-11,2.0664942327733318e-10
3.600000000000002e-11,2.0398571927840333e-10
3.700000000000002e-11,2.014413136844143e-10
3.8000000000000024e-11,1.998390071979751e-10
3.900000000000003e-11,2.0004576508420037e-10
4.000000000000003e-11,2.0356924361594788e-10
4.100000000000003e-11,2.140054039966392e-10
4.2000000000000036e-11,2.3437186794372536e-10
4.300000000000004e-11,2.5734052907406963e-10
4.400000000000004e-11,2.699805707933959e-10
4.5000000000000045e-11,2.7226696099906e-10
4.600000000000005e-11,2.7234489618168246e-10
4.700000000000005e-11,2.72383832367363e-10
4.8000000000000054e-11,2.7267264493729195e-10
4.900000000000006e-11,2.7333617956018543e-10
5.000000000000006e-11,2.7388217283140614e-10
5.100000000000006e-11,2.7384361381011845e-10
5.2000000000000066e-11,2.7316833568101726e-10
5.300000000000007e-11,2.7226327243665885e-10
5.400000000000007e-11,2.7135986972171304e-10
5.5000000000000075e-11,2.702482750288563e-10
5.600000000000008e-11,2.683378184609517e-10
5.700000000000008e-11,2.641065204350046e-10
5.8000000000000084e-11,2.5556031215939896e-10
5.900000000000008e-11,2.463805308746144e-10
6.000000000000008e-11,2.4179717751207867e-10
6.100000000000007e-11,2.405393352971138e-10
6.200000000000007e-11,2.399769065033322e-10
6.300000000000007e-11,2.39499085494527e-10
6.400000000000006e-11,2.391860339933314e-10
6.500000000000006e-11,2.3919420819610227e-10
6.600000000000006e-11,2.399817297887126e-10
6.700000000000005e-11,2.429496488491754e-10
6.800000000000005e-11,2.504155247359185e-10
6.900000000000005e-11,2.620236502210407e-10
7.000000000000004e-11,2.7160499294304474e-10
7.100000000000004e-11,2.7674815140827983e-10
7.200000000000004e-11,2.791971740391955e-10
7.300000000000003e-11,2.8005076024941176e-10
7.400000000000003e-11,2.8035108797862666e-10
7.500000000000003e-11,2.811141876380521e-10
7.600000000000002e-11,2.832623439968699e-10
7.700000000000002e-11,2.863293145974858e-10
7.800000000000001e-11,2.887311219349497e-10
7.900000000000001e-11,2.895537161929947e-10
8.000000000000001e-11,2.8874741874100815e-10
8.1e-11,2.8687996406270675e-10
8.2e-11,2.848539628031019e-10
8.3e-11,2.8298016021936817e-10
8.4e-11,2.8120130862064713e-10
8.499999999999999e-11,2.795167764080303e-10
8.599999999999999e-11,2.7824951747539987e-10
8.699999999999998e-11,2.7804785726027764e-10
8.799999999999998e-11,2.788526345845104e-10
8.899999999999998e-11,2.80061147995597e-10
8.999999999999997e-11,2.8110910597550725e-10
9.099999999999997e-11,2.8157792402589074e-10
9.199999999999997e-11,2.8160690092952216e-10
9.299999999999996e-11,2.8165938784690683e-10
